model,threshold,accuracy,precision,recall,f1,balanced_precision_recall,tn,fp,fn,tp
random_forest,0.16,0.36077481840193704,0.3121272365805169,0.9631901840490797,0.47147147147147145,0.6376587103147984,125,1038,18,471
random_forest,0.17,0.36803874092009686,0.3141326188881447,0.9591002044989775,0.47325933400605447,0.6366164116935611,139,1024,20,469
random_forest,0.18,0.3831719128329298,0.3179945054945055,0.9468302658486708,0.47609254498714654,0.6324123856715882,170,993,26,463
random_forest,0.19,0.39285714285714285,0.31926863572433195,0.9284253578732107,0.47514390371533227,0.6238469967987713,195,968,35,454
random_forest,0.2,0.40314769975786924,0.3221188260558339,0.9202453987730062,0.47720042417815484,0.62118211241442,216,947,39,450
random_forest,0.21,0.41646489104116224,0.3252391464311994,0.9038854805725971,0.47835497835497837,0.6145623135018983,246,917,47,442
random_forest,0.22,0.4322033898305085,0.3305660377358491,0.8957055214723927,0.4829106945975744,0.6131357796041209,276,887,51,438
random_forest,0.23,0.44854721549636806,0.3361801242236025,0.885480572597137,0.48733821046707937,0.6108303484103698,308,855,56,433
random_forest,0.24,0.4654963680387409,0.3418940609951846,0.8711656441717791,0.4910662824207493,0.6065298525834819,343,820,63,426
random_forest,0.25,0.4782082324455206,0.3462489694971146,0.8588957055214724,0.4935370152761457,0.6025723375092935,370,793,69,420
random_forest,0.26,0.49515738498789347,0.35344095157179267,0.8507157464212679,0.49939975990396157,0.6020783489965302,402,761,73,416
random_forest,0.27,0.5066585956416465,0.35651408450704225,0.8282208588957055,0.49846153846153846,0.5923674717013738,432,731,84,405
random_forest,0.28,0.5272397094430993,0.3663003663003663,0.8179959100204499,0.5060088551549652,0.5921481381604081,471,692,89,400
random_forest,0.29,0.5453995157384988,0.3754752851711027,0.8077709611451943,0.5126541207008436,0.5916231231581485,506,657,94,395
random_forest,0.3,0.5702179176755447,0.38894472361809046,0.7914110429447853,0.5215633423180593,0.5901778832814378,555,608,102,387
random_forest,0.31,0.5944309927360775,0.4030010718113612,0.7689161554192229,0.5288326300984529,0.585958613615292,606,557,113,376
random_forest,0.32,0.6131961259079903,0.41496598639455784,0.7484662576687117,0.5339168490153173,0.5817161220316347,647,516,123,366
random_forest,0.33,0.6325665859564165,0.42804878048780487,0.7177914110429447,0.5362872421695951,0.5729200957653748,694,469,138,351
random_forest,0.34,0.6483050847457628,0.4401041666666667,0.6912065439672802,0.5377883850437549,0.5656553553169734,733,430,151,338
random_forest,0.35,0.6634382566585957,0.45314685314685316,0.6625766871165644,0.5382059800664452,0.5578617701317088,772,391,165,324
random_forest,0.36,0.6700968523002422,0.4583333333333333,0.6298568507157464,0.5305770887166236,0.5440950920245399,799,364,181,308
random_forest,0.37,0.6791767554479419,0.46709470304975925,0.5950920245398773,0.5233812949640287,0.5310933637948183,831,332,198,291
